A,B
your dad name?,what is your dad's name?
your teacher name?,what is your teacher's name?
your father name?,what is your father's name?
your mother name?,what is your mother's name?
your grandfather name?,what is your grandfather's name?
your grandmother name?,what is your grandmother's name?
your elder name?,what is your elder's name?
your daughter name?,what is your daughter's name?
your grandson name?,what is your grandson's name?
your granddaughter name?,what is your granddaughter's name?
your uncle name?,what is your uncle's name?
your aunt name?,what is your aunt's name?
your wife name?,what is your wife's name?
your husband name?,what is your husband's name?
your child name?,what is your child's name?
deaf you?,are you deaf?
deaf your father?,is your father deaf?
deaf your daughter?,is your daughter deaf?
deaf your elder?,is your elder deaf?
deaf your younger?,is your younger deaf?
deaf your uncle?,is your uncle deaf?
deaf your aunt?,is your aunt deaf?
deaf your wife?,is your wife deaf?
deaf your husband?,is your husband deaf?
deaf your child?,is your child deaf?
deaf your grandchild?,is your grandchild deaf?
student your son?,is your son a student?
who he?,who is he?
who she?,who is she?
again name you?,what is your name again?
again name your father?,what is your father name again?
again name your mother?,what is your mother name again?
again name your grandfather?,what is your grandfather name again?
again name your grandmother?,what is your grandmother name again?
again name your son?,what is your son name again?
again name your daughter?,what is your daughter name again?
again name your elder?,what is your elder name again?
again name your younger sister?,what is younger sister name again?
again name your grandson?,what is your grandson name again?
again name your granddaughter?,what is your granddaughter name again?
again name your uncle?,what is your uncle name again?
again name your aunt?,what is your aunt name again?
again name your wife?,what is your wife name again?
again name your husband?,what is your husband name again?
again name your child?,what is your child name again?
i student i,i am student?
he student he?,is he a student?
he accountant he?,is he an accountant?
he actor he?,is he an actor?
he architect he?,is he an architect?
he artist he?,is he an artist?
he astronomer he?,is he an astronomer?
he athlete he?,is he an athlete?
he author he?,is he an author?
he baker he?,is he a baker?
he banker he?,is he a banker?
he barista he?,is he a barista?
he bartender he?,is he a bartender?
he biologist he?,is he a biologist?
he builder he?,is he a builder?
he butcher he?,is he a butcher?
he carpenter he?,is he a carpenter?
he chef he?,is he a chef?
he chemist he?,is he a chemist?
he clerk he?,is he a clerk?
he coach he?,is he a coach?
he composer he?,is he a composer?
he dentist he?,is he a dentist?
he designer he?,is he a designer?
he detective he?,is he a detective?
he doctor he?,is he a doctor?
he driver he?,is he a driver?
he electrician he?,is he an electrician?
he engineer he?,is he an engineer?
he farmer he?,is he a farmer?
he firefighter he?,is he a firefighter?
he fisherman he?,is he a fisherman?
