,ASL,ASL Sentence,English,English Sentence
0,PRP$1 NN1 NN2 .1,your dad name ?,WP VB PRP$1 NN1 POS NN2 .1,what be your dad 's name ?
1,NN1 PRP1 .1,deaf you ?,VB PRP1 NN1 .1,be you deaf ?
2,VB1 PRP$1 NN1 .1,deaf your father ?,VB PRP$1 NN1 VB1 .1,be your father deaf ?
3,VB1 PRP$1 JJR1 .1,deaf your younger ?,VB PRP$1 JJ VB1 .1,be your young deaf ?
4,NN1 PRP$1 NN2 .1,student your son ?,VB PRP$1 NN2 DT NN1 .1,be your son a student ?
5,WP1 PRP1 .1,who he ?,WP1 VB PRP1 .1,who be he ?
6,RB1 NN1 PRP1 .1,again name you ?,WP VB PRP$ NN1 RB1 .1,what be your name again ?
7,RB1 VB1 PRP$1 NN1 .1,again name your father ?,WP VB PRP$1 NN1 VB1 RB1 .1,what be your father name again ?
8,RB1 RB2 PRP$1 NN1 .1,again name your mother ?,WP VB PRP$1 NN1 RB2 RB1 .1,what be your mother name again ?
9,RB1 RB2 PRP$1 NN1 NN2 .1,again name your younger sister ?,WP VB JJ NN2 RB2 RB1 .1,what be young sister name again ?
10,JJ1 NN1 NN2,i student i,PRP VB NN1 .,I be student ?
11,PRP1 VBD1 PRP2 .1,he student he ?,VB PRP2 DT VBD1 .1,be he a student ?
12,PRP1 VBZ1 PRP2 .1,he accountant he ?,VB PRP2 DT VBZ1 .1,be he an accountant ?
13,PRP1 VB1 PRP2 .1,he architect he ?,VB PRP2 DT VB1 .1,be he an architect ?
14,PRP1 NN1 PRP2 .1,he banker he ?,VB PRP2 DT NN1 .1,be he a banker ?
15,PRP1 MD1 PRP2 .1,he firefighter he ?,VB PRP2 DT MD1 .1,be he a firefighter ?
16,PRP1 NN1 NN2 PRP2 .1,he flight attendant he ?,VB PRP2 DT NN1 NN2 .1,be he a flight attendant ?
17,PRP1 VBZ1 NN1 PRP2 .1,he police officer he ?,VB PRP2 DT VBZ1 NN1 .1,be he a police officer ?
18,PRP1 VBD1 NN1 PRP2 .1,he soccer player he ?,VB PRP2 DT VBD1 NN1 .1,be he a soccer player ?
19,PRP1 JJ1 NN1 PRP2 .1,he social worker he ?,VB PRP2 DT JJ1 NN1 .1,be he a social worker ?
20,PRP1 JJR1 PRP2 .1,she soldier she ?,VB PRP2 DT JJR1 .1,be she a soldier ?
21,PRP1 JJ1 PRP2 .1,she veterinarian she ?,VB PRP2 DT JJ1 .1,be she a veterinarian ?
22,DT1 PRP$1 .1,this your ?,VB DT1 PRP$1 .1,be this your ?
23,DT1 PRP1 .1,this she ?,VB DT1 NNS .1,be this hers ?
24,VBG1 PRP1 .1,hearing you ?,VB PRP1 DT JJ NN .1,be you a hear person ?
25,JJ1 NN1 PRP1 .1,financial analyst you ?,VB PRP1 DT JJ1 NN1 .1,be you a financial analyst ?
26,VBG1 NN1 PRP1 .1,marketing specialist you ?,VB PRP1 DT VBG1 NN1 .1,be you a marketing specialist ?
27,NN1 NN2 PRP1 .1,project manager you ?,VB PRP1 DT NN1 NN2 .1,be you a project manager ?
